No;Merek;Famili;Tipe;Daya (watt);Kapasitas Pendinginan (BTU/h);Nilai Efisiensi (EER/CSPF);Rating Bintang (1-5);Konsumsi Energi Tahunan (kWh);Biaya Listrik Tahunan (Rp);Baseline;;;;
90;Aqua;19ANP;Non-Inverter;1808.1;18572.76;3.2;1;4967.070193; Rp7,172,449.36 ;CSPF;;;;
91;Aqua;AQA-KR5AHP/AQA-CR5AHP, AQA-KR5AHP1/AQA-CR5AHP1, AQA-KR5AHQ/AQA-CR5AHQ, AQA-KR5AHQ1/AQA- CR5AHQ1;Non-Inverter;422;4732.8;3.49;2;1160.557211; Rp1,675,844.61 ;CSPF;;;;
92;Aqua;AQA-KR10AHP/AQA-CR10AHP, AQA-KR10AHP1/ AQA-CR10AHP1, AQA-KR10AHQ/ AQA-CR10AHQ, AQA-KR10AHQ1/ AQA-CR10AHQ1;Non-Inverter;862.9;9024.9;3.25;1;2376.472901; Rp3,431,626.87 ;CSPF;;;;
93;Aqua;"AQA-KR09ANPC / AQA-CR09ANPC ; AQA-KR09ANP / AQA-CR09ANP ; AQA-KR09ANP1 / AQA-CR09ANP1";Non-Inverter;764.2;8700;3.18;1;2341.347962; Rp3,380,906.46 ;CSPF;;;;
94;Aqua;AQAKRV10WXW / AQACRV10WXW;Inverter;724.8;10000;5.88;5;1455.447361; Rp2,101,665.99 ;CSPF;;;;
95;Aqua;AQA-KR5AHPC/AQA-CR5AHPC, AQA-KR5AHPC1/AQA-CR5AHPC1, AQA-KR5AHQC/AQA-CR5AHQC;Non-Inverter;439.3;5460.4;3.87;3;1207.500507; Rp1,743,630.73 ;CSPF;;;;
96;Aqua;"AQA-KR09AHP/AQA-CR09AHP, AQA-KR09AHP1/AQA-CR09AHP1, AQA-KR09AHQ/AQA-CR09AHQ, AQA-KR09AHQ1/AQA-CR09AHQ1, AQA-KR09AHPC/AQA-CR09AHPC, AQA-KR09AHQC/AQA-CR09AHQC; Indoor: AQA-KR9FQAL2 Outdoor: AQA-CR9FQAL2; Indoor: AQA-KR9FQDL2 Outdoor: AQA-CR9FQDL2; Indoor: AQA-KR9FQBL2 Outdoor: AQA-CR9FQBL2";Non-Inverter;830.7;9323;3.49;2;2286.146652; Rp3,301,195.77 ;CSPF;;;;
97;Aqua;"AQA-KR12AHP/AQA-CR12AHP, AQA-KR12AHP/AQA-CR12AHP1, AQA-KR12AHQ/AQA-CR12AHQ; Indoor: AQA-KR12FQAL2 Outdoor: AQA-CR12FQAL2";Non-Inverter;1139.5;12636.6;3.45;2;3134.620521; Rp4,526,392.03 ;CSPF;;;;
98;Aqua;AQA-KRV6WHP/AQA-CRV6WHP, AQA-KRV6WHP1/AQA-CRV6WHP1;Inverter;452.7;7019.2;4.38;4;1371.473232; Rp1,980,407.35 ;CSPF;;;;
99;Aqua;AQA-KRV9WHQ / AQA-CRV9WHQ, AQA-KRV9WHQ1/ AQA-CRV9WHQ1;Inverter;992.1;9227.22;4.5;4;1754.818445; Rp2,533,957.83 ;CSPF;;;;
100;Aqua;"AQA-KR19AHQ / AQA-CR19AHQ; AQA-KR19AHQ1 / AQA-CR19AHQ1";Non-Inverter;1859.3;20203.6;3.38;1;5115.474101; Rp7,386,744.60 ;CSPF;;;;
101;Aqua;"AQA-KR5ANQ / AQA-CR5ANQ ; AQA-KR5ANQ1 / AQA-CR5ANQ1";Non-Inverter;397.2;5000;3.66;2;1169.129847; Rp1,688,223.50 ;CSPF;;;;
102;Aqua;09ANQ;Non-Inverter;751.9;9000;3.17;1;2429.724742; Rp3,508,522.53 ;CSPF;;;;
103;Aqua;"AQA-KRF5AHQB / AQA-CRF5AHQB; AQA-KR5FQAL / AQA-CR5FQAL; AQA-KR5FQDL / AQA-CR5FQDL; AQA-KR5FQBL / AQA-CR5FQBL";Non-Inverter;408.5;4511.5;3.44;2;1122.370771; Rp1,620,703.39 ;CSPF;;;;
104;Aqua;"AQA-KRF9AHQB / AQA-CRF9AHQB; AQA-KR9FQAL / AQA-CR9FQAL; AQA-KR9FQDL / AQA-CR9FQDL; AQA-KR9FQBL / AQA-CR9FQBL";Non-Inverter;784.7;8214.7;3.26;1;2156.492423; Rp3,113,975.06 ;CSPF;;;;
105;Aqua;"AQA-KRF9AHQB / AQA-CRF9AHQB; AQA-KR9FQAL / AQA-CR9FQAL; AQA-KR9FQDL / AQA-CR9FQDL; AQA-KR9FQBL / AQA-CR9FQBL";Non-Inverter;784.7;8214.7;3.26;1;2156.492423; Rp3,113,975.06 ;CSPF;;;;
106;Aqua;"AQA-KRF9AHQB / AQA-CRF9AHQB; AQA-KR9FQAL / AQA-CR9FQAL; AQA-KR9FQDL / AQA-CR9FQDL; AQA-KR9FQBL / AQA-CR9FQBL";Non-Inverter;784.7;8214.7;3.26;1;2156.492423; Rp3,113,975.06 ;CSPF;;;;
107;Aqua;"AQA-KRF9AHQB / AQA-CRF9AHQB; AQA-KR9FQAL / AQA-CR9FQAL; AQA-KR9FQDL / AQA-CR9FQDL; AQA-KR9FQBL / AQA-CR9FQBL";Non-Inverter;784.7;8214.7;3.26;1;2156.492423; Rp3,113,975.06 ;CSPF;;;;
108;Aqua;AQA-KR12FQAL / AQA-CR12FQAL;Non-Inverter;1113.1;11483;3.21;1;3061.428785; Rp4,420,703.17 ;CSPF;;;;
109;Aqua;"AQA-KRV9ANQC / AQA-CRV9ANQC; AQA-KR9VQC / AQA-CR9VQC; AQA-KRV9VRA / AQA-CRV9VRA";Inverter;898;9100;4.4;4;1769.956304; Rp2,555,816.90 ;CSPF;;;;
110;Aqua;"AQA-KRV12ANQC / AQA-CRV12ANQC; AQA-KR12VQC / AQA-CR12VQC; AQA-KRV12VRA / AQA-CRV12VRA";Inverter;1221.3;12500;4.75;4;2252.113284; Rp3,252,051.58 ;CSPF;;;;
111;Aqua;"AQA-KRV18ANQC / AQA-CRV18ANQC; AQA-KR18VQC / AQA-CR18VQC; AQA-KRV18VRA / AQA-CRV18VRA";Inverter;1722.3;19000;4.65;4;3496.829659; Rp5,049,422.03 ;CSPF;;;;
112;Aqua;"AQA-KRV5WHQ / AQA-CRV5WHQ; AQA-KR5VQCL / AQA-CR5VQCL; AQA-KR5VRAL / AQA-CR5VRAL";Inverter;426.4;5000;4.21;4;1016.393169; Rp1,467,671.74 ;CSPF;;;;
113;Aqua;AQA-KRV10VSW / AQA-CRV10VSW;Inverter;741.9;9200;5.4;5;1458.034823; Rp2,105,402.28 ;CSPF;;;;
114;Aqua;AQA-KR19;Inverter;1427.9;19000;6.23;5;2609.993245; Rp3,768,830.25 ;CSPF;;;;
115;Aqua;AQA-KR9;Non-Inverter;735.3;9000;3.23;1;2384.590536; Rp3,443,348.73 ;CSPF;;;;
116;Aqua;AQA-KR5;Non-Inverter;385.3;5000;3.78;2;1132.014614; Rp1,634,629.10 ;CSPF;;;;
117;Aqua;"AQA-KR5FQAGL / AQA-CR5FQAGL; AQA-KR5FQDGL / AQA-CR5FQDGL";Non-Inverter;395.6;5000;3.48;2;1229.602081; Rp1,775,545.40 ;CSPF;;;;
118;Aqua;AQA-KCR;Non-Inverter;369.7;5000;3.8;3;1126.056642; Rp1,626,025.79 ;CSPF;;;;
119;Aqua;AQA-KR9VRAL2 / AQA-CR9VRAL2;Inverter;902.7;9800;4.67;4;1795.903613; Rp2,593,284.82 ;CSPF;;;;
120;Aqua;AQA-KR12VRAL2 / AQA-CR12VRAL2;Inverter;1226.8;13500;5.25;5;2200.636409; Rp3,177,718.98 ;CSPF;;;;
121;Aqua;AQA-KR12QAL3 / AQA-CR12QAL3;Non-Inverter;963.8;12500;3.6;2;2971.538361; Rp4,290,901.39 ;CSPF;;;;
122;Aqua;"AQA-KR18FQBL3 / AQA-CR18FQBL3; AQA-KR18FQAL3 / AQA-CR18FQAL3";Non-Inverter;1555.5;19100;4.09;3;3996.537462; Rp5,771,000.09 ;CSPF;;;;
123;Aqua;AQA-KR25FQAL3 / AQA-CR25FQAL3;Non-Inverter;1946.6;25000;3.63;2;5893.960386; Rp8,510,878.80 ;CSPF;;;;
124;Aqua;"AQA-KR5FQBL3 / AQA-CR5FQBL3; AQA-KR5FQAL3 / AQA-CR5FQAL3; AQA-KR5FQDL3 / AQA-CR5FQDL3; AQA-KR5FQBL3S / AQA-CR5FQBL3S; AQA-KR5FQAL3S / AQA-CR5FQAL3S; AQA-KR5FQDL3S / AQA-CR5FQDL3S";Non-Inverter;368.8;5000;3.93;3;1088.807949; Rp1,572,238.68 ;CSPF;;;;
125;Aqua;"AQA-KR7FQAL3 / AQA-CR7FQAL3; AQA-KR7FQDL3 / AQA-CR7FQDL3";Non-Inverter;576.1;7000;3.42;2;1751.643666; Rp2,529,373.45 ;CSPF;;;;
126;Aqua;"AQA-KR9FQBL3 / AQA-CR9FQBL3; AQA-KR9FQAL3 / AQA-CR9FQAL3; AQA-KR9FQDL3 / AQA-CR9FQDL3; AQA-KR9FQGL / AQA-CR9FQGL";Non-Inverter;781.5;9000;3.42;2;2252.113284; Rp3,252,051.58 ;CSPF;;;;
127;Aqua;AQA-KR5FQGL / AQA-CR5FQGL;Non-Inverter;390.7;5000;3.41;2;1254.843179; Rp1,811,993.55 ;CSPF;;;;
128;Aqua;"AQA-KR5VQCL2 / AQA-CR5VQCL2; AQA-KR5VRAL2 / AQA-CR5VRAL2; AQA-KR5VQGL / AQA-CR5VQGL";Inverter;376.5;5000;5.62;5;761.3906122; Rp1,099,448.04 ;CSPF;;;;
129;Aqua;AQA-KR12VQCL2 / AQA-CR12VQCL2;Inverter;1247.1;12000;5.11;5;2009.713616; Rp2,902,026.46 ;CSPF;;;;
130;Aqua;AQA-KR18VQCL2 / AQA-CR18VQCL2;Inverter;1807.5;17500;4.97;4;3013.391014; Rp4,351,336.62 ;CSPF;;;;
131;Aqua;"AQA-KR9VQCL2/ AQA-CR9VQCL2; AQA-KR9VRAL2 / AQA-CR9VRAL2";Inverter;810.1;9000;6.06;5;1270.994626; Rp1,835,316.24 ;CSPF;;;;
